Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type01,230,PCA_KRR,4.49195,4.18973,0.91743,0.26749,1.25655,0.05266,0.76270,13.00856,0.98849,0.99421,4.01070
Type01,230,PCA_LINEAR,4.36100,3.89466,1.13596,0.40509,0.61114,0.02168,0.01035,161.30718,0.97953,0.98966,3.64320
Type01,230,PCA_SVR,4.87566,4.70000,1.66565,0.39579,3.93808,0.20571,1.66565,73.91961,0.98019,0.98999,4.51429
Type01,230,PURE_GPR,5.78560,5.56412,2.93702,0.75870,8.32067,0.71371,2.93702,266.35555,0.96886,0.98418,5.36485
Type01,230,PURE_KRR,4.41596,4.12446,0.78304,0.22715,0.93008,0.03505,0.65734,8.04465,0.98904,0.99449,3.95507
Type01,230,PURE_SVR,4.19112,3.94225,0.64921,0.15066,0.63492,0.02778,0.41576,68.62646,0.98974,0.99484,3.77470
Type01,240,PCA_GPR,13.05365,12.41361,16.86820,3.82040,50.16196,3.70697,16.86820,1926.45441,0.86540,0.92784,12.20606
Type01,240,PCA_KRR,4.59987,3.81310,3.71867,1.63288,5.83513,0.01302,0.90547,22.90310,0.93433,0.96605,3.64136
Type01,240,PCA_LINEAR,4.91327,4.03715,3.95777,1.64027,3.75139,0.07127,0.50984,144.34829,0.94056,0.96937,3.77932
Type01,240,PCA_SVR,4.15550,3.53390,3.46376,1.77380,8.23039,0.19109,1.66632,62.91941,0.92767,0.96248,3.51229
Type01,240,PURE_GPR,4.69443,3.90945,4.29656,1.93930,5.10110,0.07368,1.17702,165.82081,0.92694,0.96208,3.55623
Type01,240,PURE_KRR,4.55539,3.83597,3.97760,1.82564,4.88280,0.21086,0.92317,138.06656,0.93495,0.96638,3.73166
Type01,240,PURE_SVR,4.79354,4.12979,3.98686,1.81187,4.43947,0.45706,0.71735,113.35133,0.93609,0.96699,3.89921
Type01,240,RATIO_CTRL,4.28634,4.16966,3.25648,1.33680,2.32777,1.23463,0.48152,298.33896,0.95155,0.97517,1.99153
Type01,250,PCA_GPR,7.45834,7.39181,7.47850,2.02216,18.78066,1.55685,7.47850,635.11472,0.92481,0.96094,7.32236
Type01,250,PCA_KRR,4.36334,3.93026,4.00429,1.51487,3.43286,0.01814,0.06829,25.46368,0.94380,0.97109,3.91500
Type01,250,PCA_LINEAR,4.33709,3.93982,3.66758,1.36572,3.98406,0.04668,0.16510,128.22007,0.94692,0.97274,3.92128
Type01,250,PCA_SVR,4.80921,4.46938,4.00765,1.52161,0.29911,0.33764,1.20860,150.65543,0.94327,0.97081,4.45252
Type01,250,PURE_GPR,4.33351,3.85335,5.61615,2.00759,3.84960,0.46123,0.62761,86.13964,0.92278,0.95984,3.83372
Type01,250,PURE_KRR,4.57917,4.14811,5.37667,1.90833,1.76772,0.53962,0.13801,123.00889,0.93098,0.96426,4.12641
Type01,250,PURE_SVR,4.65522,4.19641,5.33915,1.91990,1.53364,0.57448,0.11325,133.82131,0.93004,0.96375,4.17324
Type01,250,RATIO_CTRL,2.10923,1.84068,3.02160,1.17520,0.58711,2.48127,0.24295,367.56889,0.95851,0.97882,1.83247
Type01,260,PCA_GPR,5.96300,5.08037,7.55244,3.09699,12.99372,3.30907,3.03275,374.65786,0.88818,0.94078,4.26443
Type01,260,PCA_KRR,6.31738,5.27321,8.89342,3.11482,2.49580,2.74572,0.41423,191.76518,0.89814,0.94634,4.94866
Type01,260,PCA_LINEAR,6.12347,5.18966,7.40046,2.89499,4.77892,2.72992,0.39233,96.18313,0.89320,0.94359,4.72331
Type01,260,PCA_SVR,6.45651,5.47971,8.53297,3.09013,7.63154,3.03137,1.29222,277.71040,0.88290,0.93781,4.58234
Type01,260,PURE_GPR,6.84872,5.99636,9.06285,3.71837,0.31849,0.93317,0.02504,332.54152,0.87353,0.93250,5.58079
Type01,260,PURE_KRR,6.89698,5.93217,9.81893,3.80596,0.58719,1.17731,0.59728,385.61881,0.86503,0.92763,5.44809
Type01,260,PURE_SVR,6.97305,6.03011,9.26247,3.76706,0.87999,1.29135,0.60175,365.04744,0.86697,0.92874,5.31820
Type01,260,RATIO_CTRL,5.17634,4.93624,6.18152,2.07389,0.53570,1.07052,0.25837,767.90431,0.93105,0.96429,2.88334
Type01,280,PCA_GPR,12.59587,11.16108,24.06424,5.86746,74.96960,6.35659,22.96794,2555.36630,0.81705,0.89932,11.19200
Type01,280,PCA_KRR,5.24398,4.63987,5.65419,2.02761,9.89219,1.19311,1.04958,708.09850,0.89542,0.94483,4.56044
Type01,280,PCA_LINEAR,5.39450,4.90156,5.55745,2.31174,4.59532,1.07610,0.42435,101.32769,0.90608,0.95073,4.88388
Type01,280,PCA_SVR,5.36281,4.54340,5.67876,2.09021,13.52241,1.55777,1.99157,971.78286,0.88362,0.93821,4.13947
Type01,280,PURE_GPR,5.61931,4.97326,8.74840,3.27035,10.18838,1.94729,2.90028,269.51341,0.89703,0.94572,4.85385
Type01,280,PURE_KRR,6.35345,5.81126,8.51667,3.14748,4.82943,2.49701,0.47939,360.01986,0.88388,0.93836,5.50109
Type01,280,PURE_SVR,7.03640,6.53079,8.55465,3.14929,3.97650,2.59841,0.04424,421.71866,0.87953,0.93591,6.35222
Type01,280,RATIO_CTRL,4.12028,3.51563,8.39659,2.49859,4.40648,4.77444,0.21458,1578.85778,0.92731,0.96229,3.15326
Type02,230,PCA_GPR,7.90468,7.85857,7.59404,1.77890,22.03617,1.79354,7.59404,606.48082,0.92690,0.96206,7.69734
Type02,230,PCA_KRR,4.56829,4.22992,0.74494,0.37513,0.02297,0.39807,0.64204,102.79968,0.98008,0.98994,4.05883
Type02,230,PCA_LINEAR,4.74470,4.32042,1.75723,0.55827,2.69960,0.41444,0.04804,279.71552,0.96466,0.98201,4.15690
Type02,230,PCA_SVR,4.86974,4.64658,1.58948,0.33887,3.90425,0.13170,1.58708,65.12749,0.98271,0.99128,4.42363
Type02,230,PURE_GPR,6.58242,6.36369,3.00562,0.71749,6.69870,0.61975,3.00562,55.65621,0.96315,0.98123,6.12983
Type02,230,PURE_KRR,4.48938,4.14175,0.61501,0.31083,0.14361,0.27037,0.56303,89.27986,0.98324,0.99155,3.96524
Type02,230,PURE_SVR,5.00665,4.66191,0.95527,0.30257,0.58943,0.10583,0.85854,120.20944,0.98103,0.99042,4.44226
Type02,250,PCA_GPR,7.33883,6.84233,7.39980,3.15649,5.69763,6.58926,1.30228,1040.90485,0.87623,0.93403,6.81149
Type02,250,PCA_KRR,6.60299,6.09019,6.17713,2.53681,0.30422,5.36064,0.02141,634.05529,0.89291,0.94343,6.05666
Type02,250,PCA_LINEAR,6.12368,5.67643,5.43199,1.97363,0.35144,4.28471,0.01078,685.02275,0.91484,0.95553,5.63632
Type02,250,PCA_SVR,7.72698,7.18702,7.81698,3.46770,5.26039,7.01216,1.23241,919.64755,0.86143,0.92556,7.15025
Type02,250,PURE_GPR,6.58822,5.94644,8.59082,2.55789,0.80661,5.47512,0.17852,470.19775,0.88437,0.93864,5.91334
Type02,250,PURE_KRR,7.31791,6.68839,9.39251,3.02468,3.31131,6.44030,0.37861,606.90099,0.86786,0.92926,6.65211
Type02,250,PURE_SVR,6.93203,6.31010,8.53849,2.78202,1.52504,5.76038,0.12622,410.69778,0.87402,0.93278,6.27453
Type02,250,RATIO_CTRL,4.53090,3.64513,7.97075,2.99761,6.69841,6.59568,0.11693,1496.19600,0.89470,0.94442,3.62916
Type02,260,PCA_GPR,4.37290,3.91491,6.73577,2.05491,16.10732,1.13165,2.79079,538.69442,0.91441,0.95529,3.88978
Type02,260,PCA_KRR,4.78580,4.37957,3.77599,1.61337,0.97485,2.20921,0.68375,102.94957,0.93189,0.96474,4.35279
Type02,260,PCA_LINEAR,4.80626,4.37669,3.55339,1.31726,1.35691,1.80002,0.68169,138.85800,0.94256,0.97043,4.33814
Type02,260,PCA_SVR,4.74700,4.20616,2.89329,1.38552,3.33441,1.54435,1.14763,157.07100,0.93407,0.96591,4.15459
Type02,260,PURE_GPR,6.17901,5.38657,8.68232,2.28614,5.87428,3.74139,0.21976,47.48796,0.89789,0.94620,5.33214
Type02,260,PURE_KRR,5.82266,5.01358,8.72682,2.33255,4.46354,3.90851,0.66587,16.42525,0.89809,0.94631,4.96691
Type02,260,PURE_SVR,5.51651,4.70709,8.14996,2.22321,3.19535,3.39916,0.86443,151.05386,0.89803,0.94628,4.66456
Type02,260,RATIO_CTRL,4.33253,3.69283,7.33158,2.91385,7.86384,5.47450,0.50719,1244.94509,0.90332,0.94920,3.67892
Type02,270,PCA_GPR,8.03673,6.82064,16.12118,3.28267,39.35907,0.45457,5.21759,1482.40915,0.87822,0.93516,6.48906
Type02,270,PCA_KRR,6.06850,5.86196,3.34506,1.24337,1.28284,0.51010,0.39158,77.79353,0.94466,0.97154,5.58731
Type02,270,PCA_LINEAR,6.20571,5.93512,3.24429,1.46554,2.23625,1.04244,0.06125,93.45862,0.93514,0.96648,5.66593
Type02,270,PCA_SVR,6.75744,6.43659,3.49372,1.38365,1.10469,0.98708,1.15624,53.54658,0.94041,0.96929,6.12020
Type02,270,PURE_GPR,7.40478,6.84390,8.68614,2.62302,6.55427,3.01911,0.58636,158.28600,0.89426,0.94418,6.61236
Type02,270,PURE_KRR,7.15584,6.66455,8.23870,2.47268,5.92055,2.38677,0.47309,266.84845,0.89941,0.94704,6.50521
Type02,270,PURE_SVR,6.89168,6.45434,8.42084,2.51160,6.74970,2.49897,0.59838,247.73484,0.89714,0.94578,6.30625
Type02,270,RATIO_CTRL,4.96366,4.20381,7.28511,3.41367,9.07038,6.06795,0.28326,1326.99928,0.88839,0.94090,4.18692
Type03,230,PCA_GPR,4.07278,3.73184,0.59362,0.11514,1.27930,0.10109,0.00500,99.48471,0.99356,0.99677,3.53935
Type03,230,PCA_KRR,4.39794,4.11951,0.72369,0.20559,0.62745,0.02664,0.72369,87.18729,0.98214,0.99099,3.92308
Type03,230,PCA_LINEAR,4.24080,3.88922,1.00578,0.41299,2.04465,0.49418,0.01168,143.94032,0.98017,0.98999,3.74620
Type03,230,PCA_SVR,4.93803,4.78720,2.15570,0.48019,5.43737,0.40880,2.15570,105.84154,0.97149,0.98554,4.59330
Type03,230,PURE_GPR,4.96447,4.77667,1.79009,0.38018,3.80573,0.17092,1.79009,20.88396,0.97428,0.98697,4.56615
Type03,230,PURE_KRR,4.33198,4.04268,0.59838,0.17562,0.21261,0.01633,0.59838,94.36596,0.98289,0.99137,3.84525
Type03,230,PURE_SVR,4.15761,3.82334,0.59177,0.14805,1.06075,0.08710,0.11692,108.65652,0.98770,0.99381,3.63146
Type03,235,PCA_GPR,7.98303,7.93146,20.60643,2.26533,35.42958,4.73901,20.60643,915.56113,0.91149,0.95369,7.65994
Type03,235,PCA_KRR,5.27300,4.75361,2.88470,0.72358,2.82798,0.39451,0.36277,336.63152,0.96275,0.98102,4.41827
Type03,235,PCA_LINEAR,5.41159,4.86309,2.76641,0.70375,1.86818,0.39836,0.07110,272.23650,0.96351,0.98141,4.48347
Type03,235,PCA_SVR,5.22594,4.73294,3.37722,0.90695,4.82141,0.49069,0.78550,492.90570,0.95447,0.97671,4.49086
Type03,235,PURE_GPR,5.36346,4.85134,2.68794,0.66191,1.53038,0.29465,0.13777,293.09918,0.96160,0.98042,4.47239
Type03,235,PURE_KRR,5.25332,4.75362,3.01062,0.78207,3.62013,0.37933,0.42524,419.98228,0.95726,0.97816,4.44277
Type03,235,PURE_SVR,5.48525,5.00362,3.36835,0.89867,3.88254,0.34759,0.31753,455.37000,0.95379,0.97635,4.74779
Type03,235,RATIO_CTRL,2.31652,2.18036,2.05406,0.52601,0.60173,0.52193,0.10268,24.00576,0.97664,0.98818,1.15217
Type03,245,PCA_GPR,7.44527,6.85480,10.65887,1.27546,19.71119,2.03625,10.65887,376.96982,0.94253,0.97042,6.74895
Type03,245,PCA_KRR,5.22068,4.63875,1.97213,0.86139,3.70496,0.92457,0.09911,362.69442,0.96601,0.98271,4.45717
Type03,245,PCA_LINEAR,5.22430,4.62338,1.64232,0.71449,2.33699,0.54568,0.19984,356.28196,0.96949,0.98451,4.43007
Type03,245,PCA_SVR,5.28341,4.67820,2.25648,0.97180,5.27519,1.06264,0.45660,443.47158,0.96143,0.98034,4.44645
Type03,245,PURE_GPR,4.87817,4.31327,2.22625,0.85969,5.86977,0.86438,0.57991,556.94234,0.95368,0.97629,4.08020
Type03,245,PURE_KRR,5.15904,4.58223,2.14383,0.86902,4.34359,0.82840,0.12213,485.15487,0.95587,0.97744,4.38642
Type03,245,PURE_SVR,5.44860,4.86275,2.18504,0.87599,3.73543,0.78688,0.19765,449.65526,0.95470,0.97682,4.67419
Type03,245,RATIO_CTRL,1.70862,1.49669,2.16432,0.71941,0.87472,1.22362,0.02544,110.64247,0.97354,0.98659,1.48935
Type03,250,PCA_GPR,5.26106,4.78806,2.62862,0.84465,0.24638,0.26919,0.04607,175.67560,0.95962,0.97939,4.58903
Type03,250,PCA_KRR,5.78148,5.17311,3.17099,0.96022,0.71894,0.41168,0.23760,317.82335,0.95485,0.97691,4.88286
Type03,250,PCA_LINEAR,6.00136,5.29044,3.18914,1.06295,0.02832,0.01263,0.44889,362.25244,0.94963,0.97416,4.96996
Type03,250,PCA_SVR,5.26027,4.77706,2.72075,0.87105,0.83851,0.35338,0.10987,206.87200,0.95823,0.97867,4.55480
Type03,250,PURE_GPR,5.72543,5.04469,3.24909,1.06338,2.92067,0.28447,0.13610,584.55420,0.93763,0.96781,4.66287
Type03,250,PURE_KRR,5.59140,5.01279,2.96416,0.99778,1.80578,0.21879,0.09742,459.54710,0.94057,0.96937,4.73206
Type03,250,PURE_SVR,5.51856,4.98613,2.72296,0.94551,1.63596,0.13506,0.08061,392.72069,0.94347,0.97092,4.75800
Type03,250,RATIO_CTRL,2.62850,2.40148,3.56237,1.47278,3.56074,2.22139,0.12209,219.07529,0.94259,0.97045,2.26987
Type03,255,PCA_GPR,5.61125,5.25043,2.81050,1.01144,2.68155,0.59217,0.28630,463.91197,0.95619,0.97760,4.99943
Type03,255,PCA_KRR,5.52635,5.12230,2.39623,0.80957,3.10227,0.23962,0.10451,411.63286,0.96299,0.98115,4.80449
Type03,255,PCA_LINEAR,5.59461,5.23030,2.80739,1.00993,2.83601,0.57997,0.23709,469.25175,0.95637,0.97770,4.98089
Type03,255,PCA_SVR,5.36124,4.85588,2.16213,0.69538,2.62502,0.49143,0.18413,212.21685,0.96951,0.98452,4.38644
Type03,255,PURE_GPR,5.51520,5.10494,2.55369,0.93089,4.42531,0.47447,0.05863,692.50193,0.94289,0.97061,4.84785
Type03,255,PURE_KRR,5.33244,4.87642,2.29570,0.82875,5.13300,0.44423,0.28403,608.06311,0.94762,0.97310,4.52397
Type03,255,PURE_SVR,5.28034,4.79826,2.56088,0.81257,5.71382,0.50280,0.68129,547.26551,0.94993,0.97432,4.31309
Type03,255,RATIO_CTRL,3.36961,3.17364,3.63096,1.80982,0.98624,3.24270,0.24935,229.85037,0.93819,0.96811,2.37595
Type03,260,PCA_GPR,5.44431,5.05233,4.66244,1.60332,16.53240,0.90968,4.31893,825.19269,0.93580,0.96683,3.89031
Type03,260,PCA_KRR,6.14518,5.40112,3.04859,0.80677,0.12841,0.14186,0.85651,225.45049,0.96091,0.98007,4.69476
Type03,260,PCA_LINEAR,6.39249,5.57365,2.95451,0.74810,0.37043,0.36532,0.82235,261.98292,0.96395,0.98165,4.74948
Type03,260,PCA_SVR,5.56165,4.90060,2.44853,0.78361,0.95702,0.41278,0.81529,59.31542,0.96373,0.98153,4.39967
Type03,260,PURE_GPR,6.50403,5.68787,3.00546,0.95366,0.58465,0.45110,1.02700,487.73127,0.93741,0.96770,4.87236
Type03,260,PURE_KRR,5.76661,5.14066,3.02200,0.93933,3.24245,0.27166,0.17302,511.74360,0.93884,0.96845,4.28929
Type03,260,PURE_SVR,5.39483,4.84370,2.79993,0.97878,4.50233,0.23378,0.42968,493.99435,0.93757,0.96778,3.98018
Type03,260,RATIO_CTRL,2.92384,2.68793,3.96855,1.53822,3.71253,3.45892,0.17940,558.26465,0.94588,0.97219,2.31305
Type03,265,PCA_GPR,6.07693,5.38508,9.97715,2.86187,32.09100,2.33233,9.36387,1609.72128,0.89616,0.94524,5.07126
Type03,265,PCA_KRR,6.78764,5.75202,5.14757,1.55468,1.40683,0.16985,1.27179,459.99454,0.93499,0.96640,5.62392
Type03,265,PCA_LINEAR,6.81977,5.72930,5.36930,1.62300,0.41488,0.23197,0.94456,467.89583,0.93414,0.96595,5.56765
Type03,265,PCA_SVR,6.99426,6.04017,5.12809,1.60348,4.29567,0.46278,2.09216,349.09230,0.93238,0.96501,5.91832
Type03,265,PURE_GPR,7.01566,5.85998,5.16713,1.65246,0.82810,0.43026,1.27277,721.26064,0.91132,0.95360,5.71275
Type03,265,PURE_KRR,6.43088,5.27117,5.01978,1.57702,2.40062,0.17000,0.35917,845.94405,0.91213,0.95405,5.12284
Type03,265,PURE_SVR,6.25881,5.06387,4.88803,1.54528,3.73694,0.04875,0.15950,881.21762,0.91258,0.95429,4.92365
Type03,265,RATIO_CTRL,3.80366,3.15460,6.76177,2.46101,4.73108,3.75334,0.16281,476.86807,0.91615,0.95624,3.14198
Type03,270,PCA_GPR,8.12978,6.87436,15.06623,3.00372,28.04847,0.93127,1.35072,1476.02806,0.88766,0.94049,6.37641
Type03,270,PCA_KRR,6.78873,5.83739,4.51393,1.18497,2.73035,1.08419,1.75940,251.50124,0.94527,0.97186,5.56866
Type03,270,PCA_LINEAR,6.52689,5.61080,4.29734,1.12999,1.02672,0.92346,1.17228,246.72553,0.94741,0.97299,5.30240
Type03,270,PCA_SVR,7.67144,6.63476,4.55609,1.28957,7.56009,1.50685,3.42241,146.16517,0.93872,0.96839,6.43498
Type03,270,PURE_GPR,6.41013,5.51745,4.27491,1.21344,0.60975,1.16415,1.11646,575.98646,0.91852,0.95753,5.15522
Type03,270,PURE_KRR,6.24037,5.30441,4.60972,1.23455,1.07957,1.04360,0.71216,712.94363,0.91586,0.95608,4.84749
Type03,270,PURE_SVR,6.33820,5.35965,4.80521,1.27282,1.71378,0.98089,0.50825,775.65575,0.91509,0.95566,4.84950
Type03,270,RATIO_CTRL,2.50542,1.82616,5.44496,1.59913,5.55023,4.77946,0.17310,825.92578,0.94708,0.97282,1.81677
Type03,275,PCA_GPR,10.51221,9.16236,20.22445,4.78151,63.14948,3.98231,19.81449,2466.60222,0.83857,0.91220,9.00412
Type03,275,PCA_KRR,6.93469,5.61709,4.44483,1.17954,3.43879,1.42267,1.40762,145.20714,0.94326,0.97080,5.44927
Type03,275,PCA_LINEAR,6.66759,5.41431,4.16851,1.14578,2.12054,1.19509,0.97276,137.34739,0.94523,0.97184,5.25374
Type03,275,PCA_SVR,7.59242,6.20574,5.02908,1.27028,6.86522,1.70205,2.60701,65.91668,0.93952,0.96882,6.03659
Type03,275,PURE_GPR,6.16396,4.93075,3.72990,1.25604,1.19056,1.28564,0.11889,611.67351,0.91560,0.95594,4.59728
Type03,275,PURE_KRR,6.43100,5.08487,4.02460,1.28520,0.16263,1.40840,0.35645,635.55843,0.91166,0.95379,4.73072
Type03,275,PURE_SVR,6.64979,5.23784,4.04160,1.31746,0.50009,1.40063,0.52164,679.98318,0.90977,0.95275,4.86485
Type03,275,RATIO_CTRL,3.33780,2.74274,7.35021,2.27190,6.82688,5.44754,0.19744,1066.56241,0.91934,0.95798,2.73342
Type03,280,PCA_GPR,7.40121,6.75423,3.70997,1.14053,1.07432,1.66037,1.21800,287.00172,0.95529,0.97713,5.92060
Type03,280,PCA_KRR,7.20938,6.57479,3.49771,1.17510,3.48193,1.47082,0.56952,427.28390,0.95387,0.97639,5.76985
Type03,280,PCA_LINEAR,7.49881,6.86768,3.53202,1.18803,1.65098,1.44233,1.25906,378.19211,0.95203,0.97543,6.05816
Type03,280,PCA_SVR,6.85551,6.13887,3.54189,1.17851,7.78359,1.10545,0.86159,559.34171,0.95416,0.97654,5.26840
Type03,280,PURE_GPR,6.17896,5.58354,4.18363,1.35094,9.98751,1.20036,1.67551,1083.65775,0.92072,0.95872,4.62676
Type03,280,PURE_KRR,6.48456,5.86347,3.43589,1.26243,5.75299,1.58621,0.43208,898.22939,0.92335,0.96015,5.02434
Type03,280,PURE_SVR,6.57461,5.92818,3.16063,1.23090,4.95294,1.65144,0.10411,884.53844,0.92341,0.96018,5.08966
Type03,280,RATIO_CTRL,7.80204,7.61107,7.41414,2.30058,4.78889,6.13722,0.06624,960.34689,0.92777,0.96253,3.10760
Type04,230,PCA_GPR,4.18438,3.90943,0.48463,0.12248,1.22453,0.13824,0.00490,87.52527,0.99407,0.99702,3.73725
Type04,230,PCA_KRR,4.63737,4.37044,0.77926,0.21633,0.80551,0.01677,0.77926,70.79411,0.98888,0.99441,4.16484
