Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD,,,,,,,,,,,,
Type04,260,PCA_KRR,6.47068,5.36219,3.24558,1.21998,5.07968,0.0203,445.10699,0.94615,0.97233,4.99529,,,,,,,,,,,,
Type04,260,PCA_LINEAR,6.72154,5.40228,3.63066,1.08261,5.05834,0.28799,413.09336,0.95236,0.9756,4.98807,,,,,,,,,,,,
Type04,260,PCA_SVR,5.83619,4.95197,3.01613,1.25013,5.93812,0.04022,607.56218,0.94635,0.97243,4.69697,,,,,,,,,,,,
Type04,260,PURE_GPR,6.26947,5.12339,3.45274,1.34944,3.81124,0.70784,209.77849,0.93045,0.96397,4.20019,,,,,,,,,,,,
Type04,260,RATIO_CTRL,3.46543,3.17009,6.26055,2.11698,9.62793,3.81725,1309.25563,0.92579,0.96146,2.93612,,,,,,,,,,,,
Type04,265,PCA_GPR,5.48129,4.74165,9.47551,2.28931,28.65297,1.40789,1054.68949,0.92043,0.95857,4.11563,,,,,,,,,,,,
Type04,265,PCA_KRR,6.64056,5.62758,4.3756,1.02671,4.89521,1.11564,130.81152,0.95706,0.97806,5.48126,,,,,,,,,,,,
Type04,265,PCA_LINEAR,6.63853,5.54197,4.48007,0.96883,4.01207,1.17827,124.80443,0.96116,0.9802,5.3892,,,,,,,,,,,,
Type04,265,PCA_SVR,6.87067,5.89585,4.79011,1.05469,7.76607,1.37022,244.09789,0.95579,0.97739,5.75435,,,,,,,,,,,,
Type04,265,PURE_GPR,6.09227,4.9178,4.39898,1.40954,3.33338,0.14785,99.04868,0.93209,0.96485,4.58306,,,,,,,,,,,,
Type04,265,RATIO_CTRL,3.73313,3.21093,7.67264,2.41478,8.91549,5.21499,1162.48984,0.92298,0.95995,3.19695,,,,,,,,,,,,
Type04,270,PCA_GPR,7.68251,6.35124,14.31653,2.6626,23.94144,0.45414,944.70095,0.90414,0.94966,5.75002,,,,,,,,,,,,
Type04,270,PCA_KRR,6.80381,5.9281,3.6064,0.89468,6.69446,0.591,323.24224,0.96183,0.98054,5.70047,,,,,,,,,,,,
Type04,270,PCA_LINEAR,6.54399,5.68631,3.37306,0.87545,4.97988,0.44776,326.78442,0.96377,0.98155,5.43216,,,,,,,,,,,,
Type04,270,PCA_SVR,7.72801,6.79679,4.60088,1.06112,11.63883,1.02385,435.85771,0.95554,0.97726,6.59386,,,,,,,,,,,,
Type04,270,PURE_GPR,5.63065,4.64985,3.45633,1.35316,3.44933,0.70566,33.04108,0.93202,0.96481,4.18145,,,,,,,,,,,,
Type04,270,RATIO_CTRL,3.78314,3.08623,6.84842,2.55462,10.19455,5.02703,1510.05015,0.91912,0.95786,3.07416,,,,,,,,,,,,
Type04,280,PCA_GPR,6.73932,5.74436,3.93995,0.96861,6.10157,0.95832,229.13427,0.96228,0.98078,5.56196,,,,,,,,,,,,
Type04,280,PCA_KRR,6.62446,5.58704,3.59821,0.90049,3.78901,0.79207,87.11902,0.96355,0.98144,5.32851,,,,,,,,,,,,
Type04,280,PCA_LINEAR,6.87424,5.84976,3.78131,0.8778,5.54447,0.77031,136.55198,0.96273,0.98101,5.64725,,,,,,,,,,,,
Type04,280,PCA_SVR,6.02018,5.08506,2.75849,0.8306,0.63989,0.41889,50.65385,0.9663,0.98286,4.68334,,,,,,,,,,,,
Type04,280,PURE_GPR,5.00298,4.21886,4.28738,1.38635,4.24785,1.02816,527.48284,0.93035,0.96392,2.8277,,,,,,,,,,,,
Type04,280,RATIO_CTRL,4.55709,3.89986,7.94176,3.0108,11.31884,6.37826,1623.14849,0.90774,0.95164,3.88453,,,,,,,,,,,,
Type05,240,PCA_GPR,4.95306,4.59293,0.87344,0.18098,0.19568,0.03594,61.33694,0.98433,0.9921,4.23978,,,,,,,,,,,,
Type05,240,PCA_KRR,4.94137,4.66656,1.06532,0.41242,0.81635,0.21771,71.93046,0.98034,0.99007,4.43908,,,,,,,,,,,,
Type05,240,PCA_LINEAR,4.79378,4.45589,1.51725,0.57091,0.89551,0.22885,152.12121,0.96406,0.9817,4.13466,,,,,,,,,,,,
Type05,240,PCA_SVR,5.20857,4.91823,1.40803,0.39509,2.58331,0.21981,61.17674,0.97583,0.98776,4.63636,,,,,,,,,,,,
Type05,240,PURE_GPR,8.73991,8.48003,4.58,1.1987,12.13319,0.91797,265.69316,0.93979,0.96896,8.18984,,,,,,,,,,,,
Type05,240,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type05,260,PCA_GPR,4.76367,4.30122,3.69821,1.50723,2.74948,1.62189,157.58335,0.93339,0.96555,4.21389,,,,,,,,,,,,
Type05,260,PCA_KRR,5.84155,4.88751,4.96427,1.61029,2.5716,1.58125,255.23861,0.92916,0.96328,4.53965,,,,,,,,,,,,
Type05,260,PCA_LINEAR,5.06781,4.62263,3.13603,1.46423,0.91148,1.89843,35.26198,0.9346,0.96619,4.53,,,,,,,,,,,,
Type05,260,PCA_SVR,6.89665,6.05633,4.52012,2.14019,1.25805,2.08474,116.50432,0.90533,0.95031,4.56338,,,,,,,,,,,,
Type05,260,PURE_GPR,7.37957,6.04379,5.6942,1.84379,4.52751,2.32155,59.50776,0.92341,0.96018,5.03884,,,,,,,,,,,,
Type05,260,RATIO_CTRL,3.04389,2.70598,4.67819,2.10393,5.06729,4.40327,598.49828,0.92006,0.95837,2.69248,,,,,,,,,,,,
Type05,280,PCA_GPR,11.14043,9.41551,21.91606,5.37613,67.82935,4.14121,2461.81469,0.81277,0.89671,9.46321,,,,,,,,,,,,
Type05,280,PCA_KRR,7.55243,6.51411,4.20253,1.51316,8.41317,0.86211,86.75055,0.92949,0.96346,4.15146,,,,,,,,,,,,
Type05,280,PCA_LINEAR,5.12827,4.71604,3.45748,1.12543,0.61378,0.90863,151.50656,0.95301,0.97594,4.63386,,,,,,,,,,,,
Type05,280,PCA_SVR,8.0844,7.56962,10.90661,5.24032,26.43615,2.54498,879.15539,0.81316,0.89695,6.68261,,,,,,,,,,,,
Type05,280,PURE_GPR,9.95824,9.05583,10.68582,2.50804,8.17703,1.65464,754.58854,0.90937,0.95253,5.63265,,,,,,,,,,,,
Type05,280,RATIO_CTRL,4.55419,4.01016,6.51475,2.59721,6.46058,5.71046,1034.43802,0.9051,0.95019,3.40672,,,,,,,,,,,,
Type06,230,PCA_GPR,19.27102,18.03998,27.30259,6.10279,84.35245,5.99487,2882.3475,0.79348,0.88485,17.98738,,,,,,,,,,,,
Type06,230,PCA_KRR,4.35434,4.14734,0.85716,0.25662,0.89268,0.07843,17.71681,0.98678,0.99335,3.93331,,,,,,,,,,,,
Type06,230,PCA_LINEAR,4.18291,3.87117,1.16084,0.41349,0.12957,0.04493,173.49688,0.98021,0.99001,3.58896,,,,,,,,,,,,
Type06,230,PCA_SVR,4.76033,4.62149,1.67257,0.3841,3.75097,0.19583,73.52961,0.9806,0.9902,4.43356,,,,,,,,,,,,
Type06,230,PURE_GPR,5.71207,5.58248,3.03513,0.77948,8.20609,0.65492,270.63808,0.967,0.98322,5.36215,,,,,,,,,,,,
Type06,230,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type06,240,PCA_GPR,13.31017,12.62766,17.00967,4.52081,54.09471,4.04508,2026.75387,0.84064,0.91342,12.50278,,,,,,,,,,,,
Type06,240,PCA_KRR,3.79618,3.46813,2.78108,0.9427,1.70139,0.3045,153.2217,0.95526,0.97712,3.27718,,,,,,,,,,,,
Type06,240,PCA_LINEAR,4.01006,3.63163,2.77026,0.82209,0.23286,0.23423,275.21347,0.96722,0.98334,3.40191,,,,,,,,,,,,
Type06,240,PCA_SVR,3.45542,3.16491,3.60606,1.12652,4.19867,0.49138,70.70427,0.948,0.97331,3.07169,,,,,,,,,,,,
Type06,240,PURE_GPR,3.62693,3.28151,2.64018,0.83447,0.87735,0.14792,307.89247,0.96253,0.98091,3.01529,,,,,,,,,,,,
Type06,240,RATIO_CTRL,3.27061,2.88929,2.64496,1.02739,2.51395,1.50149,399.74588,0.96155,0.9804,1.95636,,,,,,,,,,,,
Type06,250,PCA_GPR,8.05453,7.97257,7.31068,2.09553,21.26372,1.52206,594.37091,0.91961,0.95812,7.86237,,,,,,,,,,,,
Type06,250,PCA_KRR,4.38039,4.17501,1.99911,0.6293,1.12978,0.03606,50.51817,0.97307,0.98635,4.06787,,,,,,,,,,,,
Type06,250,PCA_LINEAR,4.47124,4.25798,1.94604,0.65816,1.47749,0.08472,156.03856,0.96967,0.9846,4.14789,,,,,,,,,,,,
Type06,250,PCA_SVR,4.92347,4.75566,2.4778,0.65959,2.80528,0.29069,121.45089,0.97461,0.98714,4.62601,,,,,,,,,,,,
Type06,250,PURE_GPR,4.11187,3.87642,2.16487,0.72958,1.50519,0.07958,93.0844,0.96496,0.98217,3.7974,,,,,,,,,,,,
Type06,250,RATIO_CTRL,2.10548,2.03335,2.78942,1.42521,2.8922,2.48546,291.53423,0.95244,0.97564,2.02501,,,,,,,,,,,,
Type06,270,PCA_GPR,6.69553,5.54427,13.91065,2.97753,43.59248,3.841,1381.34481,0.88967,0.94161,5.35906,,,,,,,,,,,,
Type06,270,PCA_KRR,5.54528,4.96171,4.16439,1.15244,2.62189,1.01251,126.01048,0.94705,0.9728,4.83343,,,,,,,,,,,,
Type06,270,PCA_LINEAR,5.49957,4.83628,3.95,1.18323,4.37093,1.06637,54.51592,0.93617,0.96704,4.71524,,,,,,,,,,,,
Type06,270,PCA_SVR,5.8021,5.48701,4.45576,1.40855,0.53206,0.44394,202.41285,0.94156,0.9699,5.36239,,,,,,,,,,,,
Type06,270,PURE_GPR,6.04094,5.34216,4.24088,1.25007,0.62128,0.69479,418.61734,0.95113,0.97495,5.20072,,,,,,,,,,,,
Type06,270,RATIO_CTRL,4.22306,4.02935,5.08295,2.14611,4.01098,4.08028,1114.17069,0.92807,0.9627,2.56854,,,,,,,,,,,,
Type06,280,PCA_GPR,12.69791,10.89944,23.97727,5.52512,76.87333,6.81312,2840.11122,0.82203,0.90232,10.46903,,,,,,,,,,,,
Type06,280,PCA_KRR,6.27952,5.28378,4.75279,1.24313,11.31258,1.89413,1043.12956,0.91558,0.95593,3.9254,,,,,,,,,,,,
Type06,280,PCA_LINEAR,5.88856,4.78917,3.98746,1.27065,6.56587,1.83946,425.75967,0.93449,0.96614,4.13308,,,,,,,,,,,,
Type06,280,PCA_SVR,6.68678,5.8572,4.69383,1.22151,14.99152,2.21261,1310.31,0.90709,0.95128,3.53432,,,,,,,,,,,,
Type06,280,PURE_GPR,5.71154,4.9007,4.94193,1.33806,12.0933,2.22773,459.99542,0.95308,0.97597,3.35855,,,,,,,,,,,,
Type06,280,RATIO_CTRL,5.42321,5.11644,5.01541,2.25016,3.74933,4.59463,1141.00035,0.93072,0.96412,2.96877,,,,,,,,,,,,
Type07,250,PCA_GPR,12.60317,12.24152,18.83471,3.88118,52.47759,4.13572,1676.39288,0.85889,0.92409,12.21589,,,,,,,,,,,,
Type07,250,PCA_KRR,9.15639,9.03093,9.30192,2.17611,29.27015,1.65484,739.48684,0.90907,0.95237,8.94995,,,,,,,,,,,,
Type07,250,PCA_LINEAR,9.49753,9.3539,9.98142,2.24915,30.95613,2.03108,931.01519,0.9074,0.95145,9.26706,,,,,,,,,,,,
Type07,250,PCA_SVR,9.88265,9.51894,9.8577,2.56808,29.91231,1.38995,512.00012,0.90373,0.94943,9.43553,,,,,,,,,,,,
Type07,250,PURE_GPR,10.19305,9.7961,10.58167,2.43297,32.94529,2.29829,1027.75038,0.91129,0.95359,9.68751,,,,,,,,,,,,
Type07,250,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type07,270,PCA_GPR,4.99296,4.41711,9.46736,1.50613,7.46508,0.45652,513.64681,0.93937,0.96874,4.39953,,,,,,,,,,,,
Type07,270,PCA_KRR,9.88185,9.68684,10.19929,2.41252,31.06164,1.37848,757.86165,0.90822,0.9519,9.57871,,,,,,,,,,,,
Type07,270,PCA_LINEAR,9.69989,9.56765,9.91546,2.37138,29.9328,1.25406,722.72297,0.90967,0.9527,9.46339,,,,,,,,,,,,
Type07,270,PCA_SVR,9.77047,9.64001,11.19007,2.72214,31.01333,0.88062,386.69824,0.90258,0.94879,9.54499,,,,,,,,,,,,
Type07,270,PURE_GPR,8.68291,8.5634,8.89165,2.47643,28.39974,1.91594,758.7683,0.91305,0.95455,8.49029,,,,,,,,,,,,
Type07,270,RATIO_CTRL,1.72487,1.62201,2.41895,0.79736,2.19843,1.37807,299.38112,0.96474,0.98205,1.61343,,,,,,,,,,,,
Type07,280,PCA_GPR,6.34456,5.51487,12.27744,2.87575,38.64204,3.61117,1546.68092,0.89863,0.94661,5.48312,,,,,,,,,,,,
Type07,280,PCA_KRR,9.25811,8.72231,6.7341,2.4541,19.01744,1.24621,1066.6012,0.91307,0.95456,8.45719,,,,,,,,,,,,
Type07,280,PCA_LINEAR,9.63248,9.46267,9.5222,2.53805,28.32624,1.42582,917.22211,0.90749,0.9515,9.38745,,,,,,,,,,,,
Type07,280,PCA_SVR,7.86209,7.35022,12.44834,4.18198,3.06915,7.08692,1909.27804,0.85667,0.9228,6.89913,,,,,,,,,,,,
Type07,280,PURE_GPR,11.37306,10.50069,10.00921,2.91308,31.32469,2.11292,1259.56427,0.89685,0.94562,10.20087,,,,,,,,,,,,
Type07,280,RATIO_CTRL,3.13297,2.84767,5.43954,1.89788,2.1193,2.61793,778.10176,0.93379,0.96576,2.66475,,,,,,,,,,,,
